name,barcode,cost,price,margin,stock,min_stock,is_weighted,weight,category
CAROZZI LASANA 11 10X400GR,101504,1624,,0,4,5,false,400,carozzi
CAROZZI SPAGHETTI 5 25X400 GR,101409,648,,0,6,5,false,400,carozzi
SAN REMO SPAGHETTI 5 25X400 GR,105403,448,,0,10,5,false,400,carozzi
SAN REMO ESPIRAL 49 30X400 GR,115109,449,,0,5,5,false,400,carozzi
SAN REMO CABELLO ANGEL 1 30X400 GR,115106,449,,0,5,5,false,400,carozzi
SAN REMO MOSTACCIOLI 46 30X400 GR,115110,425,,0,5,5,false,400,carozzi
SAN REMO TALLARIN 87 25X400 GR,105402,426,,0,5,5,false,400,carozzi
SAN REMO CORBATA 80 30X400 GR,101317,404,,0,5,5,false,400,carozzi
CAROZZI CORBATA 80 30X400 GR FARDO,101318,622,,0,5,5,false,400,carozzi
CAROZZI CORBATITAS 30X400 GR FARDO,101320,622,,0,5,5,false,400,carozzi
CZZI ESPIRAL 49 30X400 GR,111112,622,,0,5,5,false,400,carozzi
CAROZZI TALLARIN 87 25X400 GR,101407,621,,0,5,5,false,400,carozzi
CAROZZI FETTUCCINE 88 25X400 GR,101401,653,,0,5,5,false,400,carozzi
CZZI CARACOL 55 30X400 GR,111111,654,,0,5,5,false,400,carozzi
CAROZZI CARACOQUESO 24X296 GR,101502,1270,,0,2,5,false,296,carozzi
CZZI RAVIOLI CARNE 12X400 GR,104020,1714,,0,2,5,false,400,carozzi
LASANA PRECOCIDA CAROZZI ESTUCHE 24X330G,101566,1257,,0,4,5,false,330,carozzi
SALSA SAN REMO SACHET ITALIANA 24X200 GR,136502,7463,,0,1,5,false,200,carozzi
POMAROLA SACHET ITALIANA 24X200 GR,135304,378,,0,24,5,false,200,carozzi
ATUN LOMITO EN ACEITE 48X140GR/91GR,710725,807,,0,6,5,false,91,carozzi
ATUN LOMITO AL AGUA 48X140GR/91GR,710726,804,,0,4,5,false,91,carozzi
ATUN DESMENUZADO EN ACEITE 48X140GR/91GR,710749,538,,0,6,5,false,91,carozzi
ATUN DESMENUZADO EN AGUA 48X140GR/91GR,710750,538,,0,6,5,false,91,carozzi
JUREL AL AGUA SAN REMO 24X425 GR,710020,1086,,0,4,5,false,425,carozzi
CABALLA SAN REMO 24X425 GR/230 GR,710234,968,,0,4,5,false,230,carozzi
SURTIDO DE MARISCOS EN ACEITE 24X425 GR,710226,1566,,0,4,5,false,425,carozzi
SURTIDO DE MARISCOS EN AGUA 24X190 GR,710227,918,,0,4,5,false,190,carozzi
CHORITOS ACEITE 24X190 GRS,710106,825,,0,4,5,false,190,carozzi
CHORITOS NATURAL 24X190 GRS,710100,828,,0,2,5,false,190,carozzi
PALMITO RODAJAS 24X400 GRS,710069,1004,,0,2,5,false,400,carozzi
PIÑA MONT BLANC C/POLVO 12X1 KG,545536,848,,0,6,5,false,1000,carozzi
DURAZNOS MITADES SAN REMO 24X400 GR,710108,790,,0,6,5,false,400,carozzi
SPRIM PINA DP 8X10X20 GR,710778,1550,,0,1,5,false,20,carozzi
SPRIM DURAZNO DP 8X10X20 GR,710777,1550,,0,1,5,false,20,carozzi
SPRIM MELON TUNA DP 8X10X20 GR,710783,1550,,0,1,5,false,20,carozzi
SPRIM FRAMBUESA DP 8X10X20 GR,710776,1550,,0,1,5,false,20,carozzi
SPRIM NARANJA DP 8X10X20 GR,710781,1550,,0,1,5,false,20,carozzi
SPRIM PAPAYA DP 8X10X20 GR,710779,1550,,0,1,5,false,20,carozzi
SPRIM MANGO DP 8X10X20 GR,710784,1550,,0,1,5,false,20,carozzi
JUMEX NECTAR MANZANA 24X335 ML,710030,581,,0,4,5,false,335,carozzi
JUMEX NECTAR PINA 24X335 ML,710315,580,,0,6,5,false,335,carozzi
JUMEX NECTAR COCO PINA 24X335 CC,710118,580,,0,6,5,false,335,carozzi
JUGO VIVO FRUTILLA 8X10X7 GR,710446,1550,,0,1,5,false,7,carozzi
JUGO VIVO NARANJA 8X10X8 GR,710167,1550,,0,1,5,false,8,carozzi
JUGO VIVO MANZANA 8X10X7 GR,710160,1550,,0,1,5,false,7,carozzi
JUGO VIVO BERRIES 8X10X7 GR,710161,1550,,0,1,5,false,7,carozzi
MAYONESA CAROZZI 12DP X 10U X 100 GR,134269,667,,0,3,5,false,100,carozzi
KETCHUP CAROZZI 12DP X 10U X 100 GR,134268,3096,,0,1,5,false,100,carozzi
MOSTAZA CAROZZI 12DP X 10U X 100 GR,134267,3096,,0,1,5,false,100,carozzi
AMB GELATINA PINA 20 X 100 GR,336109,667,,0,4,5,false,100,carozzi
AMB GELATINA FRUTILLA 20 X 100 GR,336111,667,,0,4,5,false,100,carozzi
AMB GELATINA NARANJA 20 X 100 GR,336107,667,,0,3,5,false,100,carozzi
COSTA RAMA LECHE 16X115 GR,210485,1639,,0,4,5,false,115,carozzi
ROLLS CROCANTE 18 X 100 GR,210170,1070,,0,4,5,false,100,carozzi
CHOCMAN 32X33 GR,230386,4866,,0,1,5,false,33,carozzi
BB CEREZAS AL LICOR 4X24X15 GR,388311,5976,,0,1,5,false,15,carozzi
ORLY BLANCO EDICION ESPECIAL 15X95 GR,389337,799,,0,6,5,false,95,carozzi
ORLY TRUFA 15 X 95 GR,389349,799,,0,6,5,false,95,carozzi
ORLY BERRIES 15 X 95 GR,389344,799,,0,6,5,false,95,carozzi
ORLY FRUTILLA 15 X 95 GR,389346,843,,0,3,5,false,95,carozzi
ORLY NARANJA 15 X 95 GR,389348,843,,0,3,5,false,95,carozzi
ORLY MENTA 15 X 95 GR,389347,843,,0,3,5,false,95,carozzi
ORLY ALMENDRA 15 X 95 GR,389343,843,,0,3,5,false,95,carozzi
ORLY CHIRIMOYA ALEGRE 15 X 95 GR,389346,886,,0,2,5,false,95,carozzi
AMBRONUSS 15 X 100 GR,384045,684,,0,6,5,false,100,carozzi
BOLSA HUEVO MACIZO COSTA 12X384 GR,211085,7198,,0,4,5,false,384,carozzi
BANDEJA HUEVO MACIZO COSTA 40X76 GR,211078,1128,,0,4,5,false,76,carozzi
BOLSA CONEJITOS AMBROSOLI 24X50X3.5 GR,385042,2929,,0,1,5,false,3.5,carozzi
COBERTURA BANADOS INDUSTRIAL 10 X 1 KG,212936,5038,,0,3,5,false,1000,carozzi
FRUGELE 6 X 860 GR,313009,3323,,0,1,5,false,860,carozzi
MALVA CHOC 5X850 GR,214007,5548,,0,1,5,false,850,carozzi
TUC 10X30X19 GR,251451,4088,,0,1,5,false,19,carozzi
NIK BOCADO 36X71 GR,250465,429,,0,3,5,false,71,carozzi
NIK FRUTILLA 36X71 GR,250466,429,,0,3,5,false,71,carozzi
NIK LIMON 36X71 GR,250467,429,,0,3,5,false,71,carozzi
NIK CHIRIMOYA ALEGRE 36 X71 GR,250459,429,,0,3,5,false,71,carozzi
OBSESION CLASICA 24X85 GR,250502,1018,,0,3,5,false,85,carozzi
GRETEL CHOCOLATE 24X85 GR,251501,1018,,0,3,5,false,85,carozzi
DONUTS LECHE 24X100 GR,250852,1018,,0,3,5,false,100,carozzi
DIN DON 35X115 GR,250251,501,,0,5,5,false,115,carozzi
TUAREG COCO 35X120 GR,250252,516,,0,5,5,false,120,carozzi
GALLETA SUNY 35X120 GR,250256,491,,0,4,5,false,120,carozzi
FRAC BI FRUTILLA 36X110GR,251237,565,,0,4,5,false,110,carozzi
FRAC CHOCOLATE 36X110GR,251238,565,,0,4,5,false,110,carozzi
FRAC CLASICA 36X110 GR,251239,563,,0,3,5,false,110,carozzi
FRAC VAINILLA 36X110 GR,251242,563,,0,3,5,false,110,carozzi
QUESO RALLADO SAN REMO 3DPX10X40 GR,710600,5793,,0,1,5,false,40,carozzi